text,label
"Foi detectada infestação de ferrugem no setor norte",urgente
"Irrigação do setor sul concluída sem problemas",rotina
"Pragas detectadas no talhão central",urgente
"Verificação de solo realizada, tudo normal",rotina
"Necessário aplicar defensivo nas plantas do setor leste",urgente
"Acompanhamento de irrigação feito com sucesso",rotina
"Detectada infestação de lagarta na plantação",urgente
"Relatório diário de rotina concluído",rotina
"Atenção: doenças foliares detectadas",urgente
"Irrigação e adubação realizadas conforme plano",rotina
"Problema de baixa umidade no setor oeste",urgente
"Monitoramento de pragas atualizado",rotina
"Infestação severa de pulgões",urgente
"Limpeza das áreas de plantio realizada",rotina
"Verificadas plantas com sinais de murcha",urgente
"Rotina de manutenção de irrigação concluída",rotina
"Detectada infestação de ácaros",urgente
"Coleta de dados climáticos realizada",rotina
"Problemas com fungos detectados",urgente
"Monitoramento do crescimento das plantas finalizado",rotina
